date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:46	35452/35452	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202020%2014:06:44%20GMT	https://app-sorteos.com/en/pricing	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/en/pricing.html	(from )
21:06:50	85/85	---M-Z	200	added ('OK')	text/plain	etag:%2245-59aff985127f6-gzip%22	https://app-sorteos.com/robots.txt		(from )
21:06:51	54641/54641	---MCZ	200	added ('OK')	text/css	etag:W/%22251d28bd755f5269a4531df8a81d5664%22	https://use.fontawesome.com/releases/v5.7.0/css/all.css	C:/My%20Web%20Sites/WebGratis/use.fontawesome.com/releases/v5.7.0/css/all.css	(from https://app-sorteos.com/en/pricing)
21:06:51	153182/153182	---M-Z	200	added ('OK')	text/css	etag:%221545419987%22	https://stackpath.bootstrapcdn.com/bootstrap/4.2.1/css/bootstrap.min.css	C:/My%20Web%20Sites/WebGratis/stackpath.bootstrapcdn.com/bootstrap/4.2.1/css/bootstrap.min.css	(from https://app-sorteos.com/en/pricing)
21:06:52	24640/24640	---MCZ	200	added ('OK')	text/css	etag:W/%227f61-5a68c8e1aa6db-gzip%22	https://app-sorteos.com/css/style.css?1590497493	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/css/style03aa.css	(from https://app-sorteos.com/en/pricing)
21:06:52	1168/1168	---MCZ	200	added ('OK')	text/css	etag:W/%225f5-5a4578c2deec8-gzip%22	https://app-sorteos.com/font/asicons-v1.0/style.css?1588070804	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/font/asicons-v1.0/style0bfc.css	(from https://app-sorteos.com/en/pricing)
21:06:53	19/19	---M--	200	added ('OK')	application/javascript	etag:%2215-5a34784527b9f%22	https://app-sorteos.com/js/adsbygoogle.js	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/js/adsbygoogle.js	(from https://app-sorteos.com/en/pricing)
21:06:54	52624/52624	---M--	200	added ('OK')	image/jpeg	etag:%22cd90-5a41ff17f6776%22	https://app-sorteos.com/img/sharing/en_landing.jpg	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/img/sharing/en_landing.jpg	(from https://app-sorteos.com/en/pricing)
21:06:54	9213/9213	---M--	200	added ('OK')	image/png	etag:%2223fd-58c8ba2476cc1%22	https://app-sorteos.com/img/logo2.png	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/img/logo2.png	(from https://app-sorteos.com/en/pricing)
21:06:57	31592/31592	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202020%2014:06:55%20GMT	https://app-sorteos.com/en/faqs	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/en/faqs.html	(from https://app-sorteos.com/en/pricing)
